2012 , 300 , 1230
2011 , 297 , 1230
2010 , 301 , 1230
2009 , 282 , 1230
2008 , 272 , 1230
2007 , 281 , 1230
2006 , 281 , 1230
2004 , 315 , 1230
2003 , 313 , 1230
2002 , 270 , 1230
2001 , 274 , 1230
2000 , 260 , 1148
1999 , 221 , 1107
1998 , 219 , 1066
1997 , 214 , 1066
1996 , 201 , 1066
1995 , 101 , 624
1994 , 214 , 1092
1993 , 165 , 1008
1992 , 169 , 880
1991 , 166 , 840
1990 , 155 , 840
1989 , 149 , 840
1988 , 146 , 840
1987 , 148 , 840
1986 , 135 , 840
1985 , 152 , 840
1984 , 140 , 840
1983 , 127 , 840
1982 , 148 , 840
1981 , 165 , 840
1980 , 142 , 840
1979 , 111 , 680
1978 , 132 , 720
1977 , 113 , 720
1976 , 114 , 720
1975 , 121 , 720
1974 , 104 , 624
1973 , 87 , 624
1972 , 92 , 546
1971 , 86 , 546
1970 , 91 , 456
1969 , 77 , 456
1968 , 76 , 444
1967 , 31 , 210
1966 , 28 , 210
1965 , 29 , 210
1964 , 35 , 210
1963 , 47 , 210
1962 , 36 , 210
1961 , 39 , 210
1960 , 36 , 210
1959 , 33 , 210
1958 , 34 , 210
1957 , 40 , 210
1956 , 37 , 210
1955 , 50 , 210
1954 , 33 , 210
1953 , 47 , 210
1952 , 38 , 210
1951 , 45 , 210
1950 , 41 , 210
1949 , 28 , 180
1948 , 34 , 180
1947 , 26 , 180
1946 , 23 , 150
1945 , 17 , 150
1944 , 16 , 150
1943 , 34 , 150
1942 , 31 , 168
1941 , 46 , 168
1940 , 31 , 168
